,body,category,pubDate,tags,title
211,"به گزارش ایسنا، به نقل از خبرگزاری رویترز، این گزارش با عنوان گزارش ""آزادی مذهبی در جهان"" که به پوشش مدت زمان ۲۰۱۹-۲۰۲۰ میپردازد و روز سه شنبه منتشر شده بیان داشته که در برخی کشورها نظیر نیجر، ترکیه و پاکستان تعصبات علیه اقلیتهای مذهبی سبب شده که مردم محلی آنها را مقصر همه گیری کووید-۱۹ دانسته و جلوی دسترسی آنها به کمکهای پزشکی را بگیرند. این گزارش در ۸۰۰ صفحه از سوی سازمان خیریه کاتولیک بین‌المللی ACN که به مطالعه موارد نقض آزادی‌های تمامی مذاهب می‌پردازد تهیه شده است. این گزارش جدید، ۲۶ کشور را در دسته بندی ""قرمز"" از بابت وجود اذیت و آزارها قرار داده در حالی که در مقام مقایسه در زمان تهیه گزارش قبلی در دو سال قبل این تعداد ۲۱ کشور بود. همچنین این گزارش ۳۶ کشور را در وضعیت ""نارنجی"" از بابت وجود تبعیض قرار داده که در مقام مقایسه این تعداد دو سال پیش ۱۷ کشور بود. در این گزارش تبعیض به عنوان زمانی که قوانین در قبال یک گروه خاص و نه همه اعمال شوند تعریف شده و اذیت و آزار نیز در ارتباط با وجود یک برنامه فعال برای تحت انقیاد درآوردن مردم بر اساس مذهب توصیف شده است. در این گزارش بیان شد: شدت سرکوبها و اذیت و آزارهای دارای انگیزه مذهبی به میزان چشمگیری افزایش یافته است. این گزارش به طور خاص منتقد چین و میانمار بوده است. این گزارش بیان داشت، فاحش‌ترین موارد نقض علیه اویغورهای مسلمان در سین کیانگ رخ داده‌اند ""جایی که بی رحمی‌ها در آنجا به چنان سطحی افزایش یافته که تعداد هر چه بیشتری از کارشناسان آنها را به عنوان نسل کشی توصیف می‌کنند"". در ماه فوریه، دولت جو بایدن، رئیس جمهور آمریکا یک بیانیه دقیقه نودی دولت دونالد ترامپ را مبنی بر متهم کردن چین به ارتکاب نسل کشی در سین کیانگ مورد تایید قرار داده و گفت، آمریکا باید آماده تحمیل هزینه‌ها بر چین باشد. چین گفته که مجتمع‌هایی که در سین کیانگ ایجاد کرده قرار است به ارائه آموزشهای فنی حرفه‌ای با هدف کمک به رفع افراطگرایی و جدایی طلبی بپردازند. وزارت امور خارجه چین نیز اتهامات وارد شده به این کشور درخصوص تحمیل کار اجباری و ارتکاب نقض حقوق بشر را ""افترا و شایعات بی اساس"" خوانده است. در گزارش ACN آمده است که سلسله مراتب مذهب کاتولیک در چین به رغم یک توافق مهم امضا شده در سال ۲۰۱۸ میان پکن و واتیکان در خصوص انتصاب اسقفهای این مذهب در خاک چین، ""همچنین از اذیت و آزار و دستگیری رنج می‌برد"". همچنین در این گزارش تصریح شد، چین هر چه بیشتر به استفاده از امکان شناسایی چهره در میان پیروان مذاهب مختلف پرداخته است. همچنین گزارش مذکور تصریح داشت، در میانمار مسلمانان روهینجا ""قربانی فاحش‌ترین موارد نقض حقوق بشر در دوره اخیر شده‌اند."" گزارش ACN بیان داشت، کودتای نظامی اول فوریه میانمار ""احتمالا مسائل را برای همه اقلیتهای مذهبی در میانمار بدتر ساخته است""، کشوری که حدود هشت درصد جمعیتش مسیحی هستند. به نوشته این گزارش، آفریقا ""میدان نبرد بعدی علیه شبه نظامیان افراطگرا""  است. این گزارش افزود، گروه‌های شبه نظامی در حال به بار آوردن خرابی در کشورهایی شامل موریتانی، مالی، بورکینافاسو، نیجر، نیجریه، شمال کامرون، چاد، جمهوری آفریقای مرکزی، جمهوری دموکراتیک کنگو، سومالی و موزامبیک هستند. انتهای پیام",فرامنطقه ای,۱ اردیبهشت ۱۴۰۰ / ۱۱:۴۹,"واتيكان,میانمار,آزادی مذهبی,چين",انتشار گزارش یک مطالعه درباره آزادی‌های مذهبی در جهان
212,عباس سلطانیان در گفت وگو با ایسنا، درباره روند برگزاری امتحانات پایان سال دبیرستانیها اظهار کرد: آیین نامه های مربوط تکلیف را مشخص کرده اند. امتحانات پایه نهم و دوازدهم مطابق مصوبه ۹۷۷ شورای عالی آموزش و پرروش، حضوری خواهد بود که البته الزام به دریافت تاییدیه ستاد ملی کرونا هم وجود دارد. وی افزود: در بقیه پایه ها با مرجعیت معلم و به تشخیص وی با توجه به ارزشیابی تکوینی که در طول سال انجام شده و همچنین استفاده از روشهای دیگر، نتیجه نهایی هر دانش آموز مشخص می شود. مدیرکل دفتر آموزش متوسطه نظری وزارت آموزش و پرورش با تاکید بر اینکه قبول نداریم که برای یک درس، تنها یک آزمون آنلاین در خرداد برگزار شود و ملاک معلم برای دادن نمره خرداد ماه تنها یک آزمون آنلاین باشد گفت: معلم از روش های مختلف در طول سال برای آموزش و ارزشیابی دانش آموزان استفاده کرده که می تواند ملاک مهم در ارزشیابی خرداد باشد. سلطانیان ادامه داد: به عنوان مثال تکالیف دانش آموز، پروژه ها، تحقیق ها و کارهای گروهی تحت عنوان نمره مستمر مدنظر است. معلم می تواند بخشی از نمره دانش آموز را به آزمون انلاین اختصاص دهد که اعتبار این آزمون هم باید توسط معلم، مدیر و شورای مدرسه تایید شده باشد. انتهای پیام,آموزش و پرورش,۱ اردیبهشت ۱۴۰۰ / ۱۱:۵۲,"ارزشیابی پایان سال,امتحانات نهایی,امتحانات خرداد,آموزش غیرحضوری,آموزش مجازی",برگزاری «حضوری» امتحانات نهمی ها و دوازدهمی ها با اجازه ستاد کرونا/نحوه تعیین نمرات خرداد ماه
213,به گزارش ایسنا، روزنامه دنیای اقتصاد نوشت: «دولت تمامی مشاغل را به جز گروه یک تعطیل کرده و مجلس هم به مدت دو هفته هیچ جلسه‌ای تشکیل نمی‌دهد اما مشاهدات میدانی «دنیای‌اقتصاد» نشان می‌دهد که کسبه دست‌وپا شکسته به فعالیت ادامه می‌دهند. چهره خیابان‌های تهران پر شده از مغازه‌هایی که بین هم‌چراغ‌های تعطیل با کرکره‌ای نصفه نیمه بالا کشیده در حال فعالیت هستند. آنها می‌گویند تعطیلی وقتی معنا دارد که «چک بانک نرود.» بازار داغ فروش مجازی تهران، خیابان ولیعصر، میدان ولیعصر. عصر دوشنبه. پیاده‌رو از روزهای عادی خلوت‌تر است اما رفت‌وآمدها خبر می‌دهد که فضای اعمال محدودیت نیست و مردم در حال رسیدگی به اموراتشان هستند. مغازه‌ها بسته‌ است اما نه کامل. بعضی از مغازه‌ها کرکره‌ را تا نصفه بالا کشیده‌اند و نور چراغ سایه‌های مشتری‌های داخل مغازه را از زیر کرکره بیرون انداخته است. مردم در حال خرید هستند. یک مغازه شال‌فروشی که فروشنده‌اش پسر جوان حدودا ۳۰ ساله‌ای است. او اندامی درشت دارد با صورتی گرد و موهایی جوگندمی. سعید در پاسخ به این سوال که آیا مجوز فعالیت در دوران اعمال محدودیت‌های کرونایی داری که مغازه را باز کرده‌ای، می‌گوید: «مملکت که تعطیل نیست. برای طلبکار که تو همین مدت محدودیت چکم را بانک می‌برد فرقی نمی‌کند. کاسب باید کاسبی کند که بتواند هزینه‌هایش را بپردازد وگرنه دوام نمی‌آورد.» مغازه شلوغ نیست. سه زن مشغول گشت در مغازه هستند و همین طور که شال‌های چیده‌شده در قفسه و روی ویترین را نگاه می‌کنند، قیمت هم می‌پرسند: «۷۰ تومان.» سعید قیمت را می‌گوید و ادامه می‌دهد:‌ ‌«صاحب مغازه که صبر نمی‌کند برای اجاره‌بها. سر ماه کرایه‌اش را می‌خواهد. من نوعی از خدا می‌خواهم که مملکت تعطیل شود و در این اوضاع کرونایی کنار خانواده‌ام باشم اما نمی‌توانم. باید جواب طلبکار و صاحب مغازه را بدهم.» درست چند متر جلوتر، رد نوری از زیر کرکره‌ کاملا سفیدی که کمی بالا کشیده شده بیرون زده است. کرکره بالا می‌آید  و مردی میانسال پیدا می‌شود؛ کمی فربه با موهایی ریخته. هیچکس در مغازه نیست اما او در حال بسته‌بندی لباس مردانه است. حسین می‌گوید در حال آماده‌کردن «سفارش‌های اینترنتی هستم. دولت خودش را تعطیل کرده نه بازار را. وقتی بانک‌ها باز است و مردم خرید می‌کنند من کاسب که کلی هزینه دارم چه جوری باید ادامه بدم؟ از وقتی کرونا آمده دخل ما به صفر رسیده است. دولت هم که نمی‌تواند کمک کند. چاره دیگه‌ای نیست.» به گفته این فروشنده فروش اینترنتی در دوران کرونا افزایش چشمگیری داشته است: «بیشتر فروش مجازی ما متعلق به شهرستان‌ها بود. از وقتی کرونا شایع شد مشتری‌های تهران هم بیشتر اینترنتی خرید می‌کنند. در روزهایی مثل الان هم که محدودیت اعمال می‌کنند فروش اینترنتی بالا می‌رود.» او درباره فروش حضوری در روزهای قرنطینه به «دنیای‌ اقتصاد» می‌گوید: «من قبول نمی‌کنم. الان هم کرکره پایین بود و شما در زدی وگرنه مشتری حضوری قبول نمی‌کنم. ولی برای آماده‌کردن بسته‌های سفارشی باید مغازه را باز می‌کردم و معمولا هم کرکره کامل پایین است.» به گفته حسین سال گذشته ۳۰ درصد از دخل او را فروش اینترنتی تشکیل داده که در روزهای قرنطینه به بالای ۵۰ درصد هم رسیده است. شرکت‌های خصوصی فعال هستند تنها لباس‌فروشی‌ها و بوتیک‌ها پنهانی فعالیت نمی‌کنند. بسیاری از واحدهای صنوف دیگر هم با کرکره‌های نیمه‌باز و پایین‌کشیده در روزهایی که محدودیت‌های کرونایی اعمال شده به فعالیت ادامه می‌دهند. در خیابان قرنی اما اوضاع بخشی از کسبه متفاوت است. مغازه‌هایی که لوازم اداری می‌فروشند و کرکره را کامل بالا کشیده‌اند و چراغ‌های ال‌ای‌دی تابلو را هم روشن کرده‌اند. یکی از این فروشنده‌ها می‌گوید وقتی اداره‌ها و شرکت‌ها کار می‌کنند، «ما چرا تعطیل باشیم؟» او مردی سبزه با موهایی کاملا سفید است: «مشتری من اداره‌های دولتی و شرکت‌های خصوصی هستند که به لوازم اداری مثل کاغذ و زونکن و چاپگر و کارتریج احتیاج دارند. ۸۰درصد مشتری‌های من در حال فعالیت هستند و بازار تعطیل نیست. اگر این دو هفته مغازه را ببندم با توجه به شرایطی که برای همه صنوف پیش آمده واقعا توانایی ادامه فعالیت را نخواهم داشت.» به گفته این فروشنده تمامی شرکت‌های خصوصی که مشتری او هستند «فعالیت می‌کنند و خرید هم دارند. فقط اداره‌های دولتی با نیروی کم در حال فعالیت هستند. از این گذشته سفارش‌های شهرستان و حتی همین تهران هم باید آماده شود. دولت یا باید کلا بازار را تعطیل کند، یعنی حتی بانک‌ها. یا اگر نمی‌تواند با توجه به شرایط مالی مردم قرنطینه و محدودیت‌های اینجوری فایده‌ای ندارد.» او در پاسخ به این سوال که در صورت جریمه چه واکنشی نشان می‌دهد، می‌گوید: «هیچی. پرداخت جریمه. بیایند جریمه کنند ما هم مغازه را باز نگه می‌داریم. مگر می‌توان در این اوضاع به کلی تعطیل کرد؟ دولت کرایه مغازه و دیگر هزینه‌ها را بپردازد، من‌هم می‌نشینم در خانه‌ام. وقتی می‌توانیم بگوییم تعطیل است که چک بانک نرود.» دولت تمامی صنوف به جز مشاغل گروه یک را برای جلوگیری از شیوع بیشتر کرونا تعطیل اعلام کرده است اما چهره شهر چیز دیگری می‌گوید. مشاهدات میدانی ما حاکی از آن است که قریب به ۱۰ درصد بازار به صورت پنهانی یا آشکار در حال فعالیت هستند؛ چراکه «باید از پس هزینه‌ها بربیاییم.» انتهای پیام,رسانه دیگر,۱ اردیبهشت ۱۴۰۰ / ۱۱:۵۴,کروناویروس,کاسبی با کرکره نیمه‌باز
214,هوشنگ بازوند، امروز(اول اردیبهشت) در نشست پشتیبانی و رفع موانع پروژه‌های حوزه میراث فرهنگی و گردشگری استان، اظهار داشت: تله کابین یک طرح بسیار مناسب برای جذب گردشگران است و این پروژه در اغلب استان‌های گردشگرپذیر که این امکان برای آن‌ها فراهم بوده، اجرایی شده است. وی افزود: با برررسی مقایسه ای صورت گرفته، شرایط اجرای این پروژه در کرمانشاه به لحاظ دریافت مجوزهای میراث فرهنگی بسیار مناسب‌تر از برخی استانهای همجوار است، ولی متاسفانه برای اجرای این پروژه در استان سختگیری های بیشتری لحاظ می شود. استاندار تاکید کرد: مردم کرمانشاه موافق اجرای تله کابین هستند و مدیریت ارشد استان هم خود را موظف دانسته طی این مدت برای اجرای این پروژه رایزنی و پیگیری های لازم را با وزارت میراث فرهنگی و گردشگری انجام دهد و بزودی نشست دیگری با وزارتخانه برای حل مشکلات باقی مانده برگزار می کنیم. بازوند در ادامه سراب نیلوفر را یک پتانسیل بسیار مهم گردشگری توصیف کرد و گفت: متاسفانه به دلیل وجود برخی مشکلات حقوقی، سالها نتوانسته ایم از این ظرفیت برای توسعه گردشگری کرمانشاه به شکل شایسته ای استفاده کنیم. وی ادامه داد: از آب منطقه ای خواسته شده هر چه سریعتر از طریق مراجع قانونی مشکلات حقوقی مجموعه سراب نیلوفر را پیگیری کند تا زمینه سرمایه گذاری برای بخش خصوصی و رونق این مجموعه فراهم شود. انتهای پیام,کرمانشاه,۱ اردیبهشت ۱۴۰۰ / ۱۱:۵۵,"كرمانشاه,گردشگري,استاندار كرمانشاه,استانی-فرهنگی و هنری",کرمانشاه برای تبدیل‌شدن به قطب گردشگری نیازمند اجرای پروژه تله‌کابین است
215,به گزارش ایسنا، بنابراعلام آسیا استیل، قیمت لوله استیل در حوزه‌های مختلف نظیر داروسازی، صنایع غذایی و تزیین داخلی ساختمان تاثیرگذار است. با این تعریف در ادامه به معرفی مشخصات این محصول به همراه بزرگترین فروشنده آن می پردازیم. لوله استیل ۳۰۴ و ویژگی های آن لوله های استیل در طول، فرم، اندازه و انواع مختلف ارائه می شوند.  لوله  استیل ۳۰۴ در مشاغل گوناگونی مورد استفاده قرار می گیرد  که دراینجا به برخی از آنها می پردازیم، جوشکاری، تراشکاری و ..... حال کاربردهای آن در انتقال گاز یا مایعات، تصفیه آب، صنایع پتروشیمی و شیمیایی ایده آل می باشد. همچنین از کاربردهای دیگر این لوله می توان به موارد زیر اشاره کرد: صنایع فرآوری گاز صنایع کشتی سازی و دریایی صنایع پتروشیمی صنایع تولید برق صنایع فرآوری مواد غذایی صنایع شیمیایی صنایع نفت و گاز صنایع تولید کود تواید ابزارآلات لوله استیل ۳۰۴ در مواقع سرما، قدرت مغناطیسی خود را از دست می دهد و در عملیات حرارتی انعطاف‌پذیر نیست. هر کدام  از موارد سختی این لوله را  می توان از طریق عملیات سرد افزایش داد. اما باید خاطر نشان کنیم که انجام این کار باعث کاهش قدرت مغناطیسی لوله می شود. از دیگر ویژگی لوله های استیل ۳۰۴ می توان به مقاوم بودن در برابر خوردگی اشاره کرد که این خواص مکانیکی لوله در معماری، صنایع شیمیایی و کاغذ بسیار پرکاربرد است. گروه صنعتی آسیا استیل انواع لوله ‌های استیل را در ابعاد استاندارد کارخانه یا مطابق با ابعاد و اندازه های مورد نظر شما عرضه می‌نماید. گروه صنعتی آسیا استیل انواع لوله استنلس استیل را در سایزهای مختلف (۴/۱ الی ۵۰ اینچ) با آلیاژهای ۳۰۴، ۳۱۰، ۳۱۶ و ۳۲۱ به صورت ۶ متری از بنگاه‌های تهران ارائه و عرضه می‌ نماید. لوله های ۳۰۴ در مقایسه با مس، آلومینیوم یا اکثر آلیاژها بیشترین تحمل دمایی را دارند. بازه یا تلورانس دمایی در این لوله ها از ۴۲۰- درجه فارنهایت تا ۱۷۰۰ درجه فارنهایت (۲۵۰- درجه سانتیگراد تا ۹۲۵ درجه سانتیگراد) است. این بازه دمایی از اهمیت بالایی در صنایعی مانند مواد غذایی و دارو برخوردار است و آنها را به گزینه ایده آل تبدیل می کند. و اما قیمت این لوله ها، درست است که قیمت لوله های استیل گران تر از مابقی لوله ها هستند ولی دلیلی که رتبه این لولها را بالا میبرد کاهش هزینه نگهداری و عدم نیاز به تعویض لوله در دراز مدت است نکته مهم در مورد استفاده از لوله استیل در صنایع غذایی این است که: این لوله ها از نظر بهداشتی به دلیل خاصیت اکسیده نشدن و عدم فرسودگی، بقایایی از خود در انتقال سیالات و مواد به جا نمی گذارند. بنابراین لوله استیل ۳۰۴ در مقایسه با لوله های غیراستیل  از نظر بهداشتی در شرایط فوق العاده ای به سر می برند. گروه آسیا استیل به دنبال ایجاد یک فضای دوستانه برای تمام مشتریان و جلب اعتماد و اطمینان خاطر این عزیزان است. به همین دلیل فعالیت گسترده خود را در حوزه وب در این چند سال آغاز کرده و توانسته است با بزرگترین شرکت هایی دارویی و بهداشتی و حوزه نفت و گاز همکاری نماید. چشم انداز گروه صنعتی آسیا استیل تبدیل شدن به یکی از شرکت های تامین کننده لوله و اتصالات و فلج در صنایع است. لوله استیل ۳۰۴ مانند مابقی لوله های موجود در بازار به وسیله گروه صنعتی آسیا استیل در ابعاد و اندازه های مختلفی تولید و عرضه و به نقاط مختلف کشور ارسال میشوند در تولید لوله ها استانداردهای جهانی نقش بسزایی دارندکه لوله های تولیدی آسیا استیل از این استانداردها پیروی می کند. به همین دلیل از نظر کیفیت و کارایی از بهترین لوله های موجود در بازارند. انتهای رپرتاژ آگهی,خبر بازار,۱ اردیبهشت ۱۴۰۰ / ۱۱:۵۶,"لوله استیل,قیمت لوله استیل,گروه آسیا استیل",گروه آسیا استیل و عرضه لوله استیل ۳۰۴
216,این کارگاه با تدریس دکتر هاله مکبر و دکتر رویا سفرکار روز پنجشنبه 2 اردیبهشت 1400 از ساعت 11 الی 14 برگزار می‌شود. تاریخچه و کاربرد کشت سلولی، آشنایی با وسایل و تجهیزات آزمایشگاه کشت سلولی، معرفی انواع آلودگی کشت سلولی و روش تشخیص و مقابله با آنها، آشنایی با انواع کشت سلولی و محیط کشت و آشنایی با اصول فریز و دفریز و پاساژ سلولی از جمله محورهای مهم این کارگاه می‌باشند. علاقمندان جهت ثبتنام و دریافت اطلاعات بیشتر به آیدی @pouya_mls  پیام دهند. ضمنا کارگاه به صورت مجازی و در قالب Adobe connect برگزار خواهد شد. انتهای پیام,اردبیل,۱ اردیبهشت ۱۴۰۰ / ۱۱:۵۷,"استانی-علمی و آموزشی,منطقه اردبیل,کشت سلولی,انجمن علمی علوم آزمايشگاهی دانشگاه آزاد اسلامی واحد اردبیل,دانشگاه آزاد اسلامی واحد اردبیل",کارگاه اصول نظری و تکنیک‌های کشت سلولی در اردبیل برگزار می‌شود
217,به گزارش  ایسنا، دکتر مجید موافق قدیری، رئیس انجمن صنایع خوراک دام، طیور و آبزیان در مورد موانع پیش روی تولید و عرضه نهاده های دامی گفت: مشکلاتی که ما در نابسامانی نهاده های دامی در سال گذشته تجربه کردیم به اذعان فعالان حوزه تولید محصولات پروتئینی طیور در تاریخ چهل پنجاه سال اخیر بی سابقه بوده است. وی افزود: نمونه این نابسامانی ها تخصیص ارز ۴۲۰۰ تومانی به نهاده ها بود که متاسفانه در نهایت با ارز ۲۶ هزار تومانی و ۳۰ هزار تومانی به دست تولیدکنندگان رسید و این اوج ناکارآمدی و سوء مدیریت در بدنه دولت را نشان می دهد.  رئیس انجمن صنایع خوراک دام، طیور و آبزیان مشکلات این حوزه را در دو بخش داخلی و خارجی بررسی کرد و گفت: بخشی از مشکلات خارجی مربوط به کرونا و تحریم ها و انتقال ارز و فروش نفت بود که ارتباطی به تولیدکنندگان و وزارت جهاد نداشت اما بخشی از مشکلات هم مستقیماً به موضوعات مدیریتی وزارت جهاد و صمت و حتی بانک مرکزی برمی گردد.  موافق قدیری  در مصاحبه با رادیو گفت وگو ، از نبود شبکه توزیع مناسب نهاده های دامی در کشور انتقاد و اظهارکرد: با وجود راه اندازی سامانه بازارگاه توسط وزارت جهاد کشاورزی، اما این سامانه هنوز کارایی لازم را پیدا نکرده است.  وی از وجود ۱ میلیون و ۲۰۰ هزار تن نهاده دامی دپو شده در بنادر خبرداد و گفت: بانک مرکزی هنوز ارز اینها را تأمین نکرده و متاسفانه با مشکل مواجهیم.  رئیس انجمن صنایع خوراک دام، طیور و آبزیان یادآورشد: بانک مرکزی از اول اسفند تاکنون ارزی را تأمین نکرده اما ادعا می کند که ارز دو ماه ابتدای سال را در اسفند پرداخت کرده و این بسیار خطرناک است و امنیت غذایی مردم را به خطر میندازد.  موافق قدیری تصریح کرد: ما تا زمانی که مرغ و محصولات پروتئینی را یک محصول سیاسی بدانیم که با آن محبوبیت بخریم آن هم از جیب تولیدکننده قطعاً به جایی نمی رسیم. وی با بیان اینکه عدم تعیین به موقع قیمتها باعث متضرر شدن تعداد زیادی از تولیدکنندگان و کاهش تولید می شود افزود: متاسفانه وزارت جهاد کشاورزی تا به این لحظه قیمت ارزی و داخلی نهاده های دامی را اصلاح نکرده و به همین دلیل هم واردکنندگان نهاده های دامی قیمتها را در سامانه بازارگاه ارائه نمی کنند.  رئیس انجمن صنایع خوراک دام، طیور و آبزیان از عملکرد ستاد تنظیم بازار در سه چهار سال اخیر انتقادکرد و گفت: اگر قرار باشد این همه ستاد و نهاد و کارگروه داشته باشیم و در نهایت هم مردم و تولیدکننده و حتی خود دولت ناراضی باشند چه فایده ای دارد و چه دلیلی دارد که این همه بودجه صرف این نهاد کنیم!؟  وی عملکرد دولت و وزارت جهاد کشاورزی در حوزه تأمین نهاده های دامی برای کارخانجات خوراک دام و طیور را بسیار ضعیف ارزیابی کرد و گفت: دولت می خواهد کاری کند که فعالان اقتصادی را روبروی مردم قرار دهد کمااینکه الان هم متهم اصلی گرانی مرغ، مرغدار شده درصورتیکه دولت تصمیم اشتباه خود را تقصیر فعالان اقتصادی انداخته است. انتهای پیام,تولید و تجارت,۱ اردیبهشت ۱۴۰۰ / ۱۱:۵۷,نهاده دامی,کاهش شدید کیفیت نهاده‌های دامی/ مجلس ورود کند
218,نخستینِ این مضامین، از ناپایداری جهان و گذار عمر و پوچی قدرت‌ها و آرزوها حکایت می‌کرد: «گفتم گل بستان را چنان که دانی، بقایی و عهد گلستان را وفایی نباشد و حکما گفته‌اند هر چه نپاید، دل‌بستگی را نشاید.» همه‌چیز گذران است: «شرق، عظمت خود را از دست داده است و غرب نیز به‌زودی از دست خواهد داد.» پس چه باید کرد؟ همان کاری که سعدی شیراز کرده است. باید «گلستانی» ساخت که «باد خزان را بر ورق او دست تطاول نباشد و گردش زمان، عیش ربیعش را به طیش خریف مبدل نکند» زیرا که «گل همین پنج روز و شش باشد/وین گلستان همیشه خوش باشد.» و هوگو نیز بر آن می‌شود که گلستانی این‌چنین بسازد: روضة ماء نهرها سلسال دوحة سجع طیرها موزون آن پر از لاله‌های رنگارنگ وین پر از میوه‌های گوناگون باد، در سایه درختانش گسترانیده فرش بوقلمون هوگو، هر یک از این شواهد سه‌گانه را در آغاز یکی از چکامه‌های شرقیات آورده است، به‌گونه‌ای که محتوای آن چکامه، تفسیری بر این مضمون است. هوگو فارسی نمی‌دانست و مستقیماً به آثار سعدی و دیگر شاعران ایرانی دسترسی نداشت، اما به محافل خاورشناسی رفت‌وآمد می‌کرد و دوستانی مانند ارنست فوئینه و ژول مل او را در این کار یاری می‌دادند. نکته‌ای که به‌خصوص در شرقیات جلب‌توجه می‌کند این است که در نسخه خطی بازمانده از کتاب، هوگو پس از درج عنوان کلی، نخست مضامین برگرفته از سعدی را آورده و سپس فهرست اشعار را، امری که نشان می‌دهد تأثیر سعدی در او چیزی بیش از اقتباسی ساده و یا همنوایی دو شاعر بزرگ در مورد موضوعی معین بوده است. نکته دیگر این است که در چاپ اول شرقیات در سال ۱۸۲۹، عبارت «باد خزان را بر ورق او دست تطاول نباشد و گردش زمان، عیش ربیعش را به طیش خریف مبدل نکند» در آغاز قطعه‌ای به نام «نوامبر» (=ماه خزان) آمده و این خواه‌ناخواه، عنوان برگ‌های پاییزی، مجموعه اشعار دیگر هوگو را که در سال ۱۸۳۱ منتشر شد، به یاد می‌آورد. برگ‌های پاییزی چنان که هوگو خود می‌گفت، «نگاهی است افسرده و تسلیم آمیز، جسته‌وگریخته بر آنچه هست و به‌خصوص، بر آنچه بوده است» یادی است از کانون خانوادگی، از پدر و مادر و از روزگاری که دیگر آن را بازگشتی نیست. برگ‌هایی است که باد خزان آن‌ها را «به تطاول» برده و گردش روزگار «عیش ربیعش را به طیش خریف» مبدل کرده است. یعنی آن که در اینجا هم تأثیر مطالعات ایرانی هوگو در اشعارش مشهود است. اصولاً، جاذبه دیباچۀ گلستان و آنچه سعدی در وصف باغ و بوستان آورده چنان بود که رفته‌رفته، مضامینی مانند گل‌وبلبل و نسیم سحری در اشعار فرانسویان راه می‌یافت و داستان‌های بسیاری را به شاعران رمانتیک الهام می‌بخشید. منبع: کتاب از سعدی تا آراگون، نوشتۀ جواد حدیدی که سال ۱۳۷۳ از سوی مرکز نشر دانشگاهی منتشرشده است. انتهای پیام,اصفهان,۱ اردیبهشت ۱۴۰۰ / ۱۱:۵۶,"استانی-فرهنگی و هنری,روز بزرگداشت سعدی,سعدي,ویکتور هوگو,اقتباس,شعر فارسی",از سعدی تا هوگو
219,مهدی عسگری روز چهارشنبه یکم اردیبهشت در جلسه ستاد مدیریت کرونا در البرز که با حضور وزیر بهداشت در استانداری البرز برگزار شد، اظهار کرد: البرز به عنوان شاهراه اقتصادی و قطب تولیدات سلامت کشور از لحاظ سرانه‌های مختلف از جمله سرانه بهداشت و درمان در کنار سیستان و بلوچستان، آخرین استان کشور است. به گزارش ایسنا، وی با تاکید بر کمبود نیرو و تجهیزات بهداشتی و درمانی در استان ادامه داد: این محدودیت‌ها  علی رغم تلاش کادر بهداشت و درماندر اپیدمی کرونا کاملا ملموس بوده است. عسگری گفت: برای رفع برخی از این کمبودها نیاز است بیمارستان سیدالشهدای کرج از وزارت راه و شهرسازی به وزارت بهداشت منتقل شود تا روند تکمیل آن با حساسیت بیشتری پیگیری شود. این مسئول گفت: علاوه بر این انتظار داریم فاز تجهیز بیمارستان فردیس که تا کنون ۸۰ درصد پیشرفت فیزیکی داشته، آغاز شود. وی در پایان بر تسریع در روند بیمارستان کمالشهر تاکید کرد و گفت: این بیمارستان در منطقه‌ای حاشیه‌ای که ۲۰۰ هزار نفر جمعیت دارد در حال ساخت است و امیدواریم با حمایت مسئولان زودتر به پایان برسد. انتهای پیام,البرز,۱ اردیبهشت ۱۴۰۰ / ۱۱:۵۷,"استانی-سیاسی,استانداری البرز,مهدی عسگری",سرانه بهداشتی در البرز با سیستان و بلوچستان برابر است
220,بر اساس گزارش روابط عمومی جهاددانشگاهی، با حکمی از سوی حمیدرضا طیبی رییس این نهاد، سیروس رضائی به مدت دو سال در سمت خود به عنوان رییس جهاددانشگاهی واحد چهارمحال و بختیاری ابقا شد. طیبی در حکم ابلاغی ضمن تقدیر و تشکر از خدمات شایسته گذشته عنوان کرد: امید است با اتکال به خداوند متعال و همکاری و همدلی همه جهادگران عزیز آن واحد در انجام وظایف محوله و توسعه کمی و کیفی فعالیت‌های آن واحد موفق باشید. لازم به ذکر است، سیروس رضایی معاونت فرهنگی جهاددانشگاهی واحد چهارمحال و بختیاری را نیز در کارنامه خود دارد. انتهای پیام,چهارمحال و بختیاری,۱ اردیبهشت ۱۴۰۰ / ۱۱:۵۷,"استانی-فرهنگی و هنری,منطقه چهارمحال و بختیاری,جهاد دانشگاهی",رییس جهاددانشگاهی چهارمحال و بختیاری در سمت خود ابقا شد
